title,price_value,availability,link,collection,date_scraped
Fresh skin,98.0,Épuisé,https://mysweetyskin.ma/products/fresk-skin,Huile Parfumée,2025-10-04 03:01:38.853404
Mon trésor,98.0,Vente,https://mysweetyskin.ma/products/mon-tresor,Huile Parfumée,2025-10-04 03:01:38.853404
Royale White musk,98.0,Vente,https://mysweetyskin.ma/products/royale-white-musk-1,Huile Parfumée,2025-10-04 03:01:38.853404
Vanille-coco lover,98.0,Vente,https://mysweetyskin.ma/products/coco-vanille-lover,Huile Parfumée,2025-10-04 03:01:38.853404
Oud passion,98.0,Vente,https://mysweetyskin.ma/products/oud-passion,Huile Parfumée,2025-10-04 03:01:38.853404
Natura skin,98.0,Épuisé,https://mysweetyskin.ma/products/natura-skin,Huile Parfumée,2025-10-04 03:01:38.853404
Candy Land,98.0,Épuisé,https://mysweetyskin.ma/products/fresk-skin-copy,Huile Parfumée,2025-10-04 03:01:38.853404
Oriental queen,98.0,Vente,https://mysweetyskin.ma/products/oriental-queen,Huile Parfumée,2025-10-04 03:01:38.853404
My skin secrets,98.0,Épuisé,https://mysweetyskin.ma/products/my-skin-secrets,Huile Parfumée,2025-10-04 03:01:38.853404
Musc al roman,105.0,Vente,https://mysweetyskin.ma/products/musc-al-roman,Huile Parfumée,2025-10-04 03:01:38.853404
Bacarat rouge musc,105.0,Vente,https://mysweetyskin.ma/products/bacarat-rouge-musc,Huile Parfumée,2025-10-04 03:01:38.853404
Musc tahara,105.0,Vente,https://mysweetyskin.ma/products/musc-atahara,Huile Parfumée,2025-10-04 03:01:38.853404
Soft musc,105.0,Vente,https://mysweetyskin.ma/products/soft-musc,Huile Parfumée,2025-10-04 03:01:38.853404
More sweet,98.0,Vente,https://mysweetyskin.ma/products/more-sweet,Huile Parfumée,2025-10-04 03:01:38.853404
Bella rosa,98.0,Vente,https://mysweetyskin.ma/products/bella-rosa,Huile Parfumée,2025-10-04 03:01:38.853404
Exotic garden,98.0,Épuisé,https://mysweetyskin.ma/products/exotic-garden,Huile Parfumée,2025-10-04 03:01:38.853404
Badee Al Oud Sublime,98.0,Vente,https://mysweetyskin.ma/products/badee-al-oud,Huile Parfumée,2025-10-04 03:01:38.853404
Cristal Noir,98.0,Vente,https://mysweetyskin.ma/products/cristal-noir,Huile Parfumée,2025-10-04 03:01:38.853404
Divine,98.0,Vente,https://mysweetyskin.ma/products/divine,Huile Parfumée,2025-10-04 03:01:38.853404
Giordani Gold Essenza,98.0,Vente,https://mysweetyskin.ma/products/giordani-gold-essenza,Huile Parfumée,2025-10-04 03:01:38.853404
Her Burberry,98.0,Vente,https://mysweetyskin.ma/products/her-burberry,Huile Parfumée,2025-10-04 03:01:38.853404
Lady Milion,98.0,Vente,https://mysweetyskin.ma/products/lady-milion,Huile Parfumée,2025-10-04 03:01:38.853404
Manifesto,98.0,Vente,https://mysweetyskin.ma/products/manifesto,Huile Parfumée,2025-10-04 03:01:38.853404
Milion Gold For Her,98.0,Vente,https://mysweetyskin.ma/products/milion-gold-for-her,Huile Parfumée,2025-10-04 03:01:38.853404
Miss Dior,98.0,Vente,https://mysweetyskin.ma/products/miss-dior,Huile Parfumée,2025-10-04 03:01:38.853404
Miss Dior Cherie,98.0,Vente,https://mysweetyskin.ma/products/miss-dior-cherie,Huile Parfumée,2025-10-04 03:01:38.853404
Mon Paris,98.0,Vente,https://mysweetyskin.ma/products/mon-paris,Huile Parfumée,2025-10-04 03:01:38.853404
My Way,98.0,Vente,https://mysweetyskin.ma/products/my-way,Huile Parfumée,2025-10-04 03:01:38.853404
Si Armani,98.0,Vente,https://mysweetyskin.ma/products/si-armani,Huile Parfumée,2025-10-04 03:01:38.853404
So Élixir,98.0,Vente,https://mysweetyskin.ma/products/so-elixir,Huile Parfumée,2025-10-04 03:01:38.853404
