title,price_text,price_value,availability,link,collection
Fresh skin,98.00 Dhs,98.0,Épuisé,https://mysweetyskin.ma/products/fresk-skin,Huile Parfumée
Mon trésor,98.00 Dhs,98.0,Vente,https://mysweetyskin.ma/products/mon-tresor,Huile Parfumée
Royale White musk,98.00 Dhs,98.0,Vente,https://mysweetyskin.ma/products/royale-white-musk-1,Huile Parfumée
Vanille-coco lover,98.00 Dhs,98.0,Vente,https://mysweetyskin.ma/products/coco-vanille-lover,Huile Parfumée
Oud passion,98.00 Dhs,98.0,Vente,https://mysweetyskin.ma/products/oud-passion,Huile Parfumée
Natura skin,98.00 Dhs,98.0,Épuisé,https://mysweetyskin.ma/products/natura-skin,Huile Parfumée
Candy Land,98.00 Dhs,98.0,Épuisé,https://mysweetyskin.ma/products/fresk-skin-copy,Huile Parfumée
Oriental queen,98.00 Dhs,98.0,Vente,https://mysweetyskin.ma/products/oriental-queen,Huile Parfumée
My skin secrets,98.00 Dhs,98.0,Épuisé,https://mysweetyskin.ma/products/my-skin-secrets,Huile Parfumée
,,,Inconnu,https://mysweetyskin.ma/products/musc-al-roman,Huile Parfumée
,,,Inconnu,https://mysweetyskin.ma/products/bacarat-rouge-musc,Huile Parfumée
,,,Inconnu,https://mysweetyskin.ma/products/musc-atahara,Huile Parfumée
,,,Inconnu,https://mysweetyskin.ma/products/soft-musc,Huile Parfumée
Musc al roman,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/musc-al-roman,Huile Parfumée
Bacarat rouge musc,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/bacarat-rouge-musc,Huile Parfumée
Musc tahara,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/musc-atahara,Huile Parfumée
Soft musc,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/soft-musc,Huile Parfumée
,,,Inconnu,https://mysweetyskin.ma/products/musc-al-roman,Huile Parfumée
,,,Inconnu,https://mysweetyskin.ma/products/bacarat-rouge-musc,Huile Parfumée
,,,Inconnu,https://mysweetyskin.ma/products/musc-atahara,Huile Parfumée
,,,Inconnu,https://mysweetyskin.ma/products/soft-musc,Huile Parfumée
More sweet,98.00 Dhs,98.0,Vente,https://mysweetyskin.ma/products/more-sweet,Huile Parfumée
Bella rosa,98.00 Dhs,98.0,Vente,https://mysweetyskin.ma/products/bella-rosa,Huile Parfumée
Exotic garden,98.00 Dhs,98.0,Épuisé,https://mysweetyskin.ma/products/exotic-garden,Huile Parfumée
